URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/news/powerpost/wp/2016/08/30/the-exception-to-postal-service-motto-about-delivering-mail/,157724,32,text/html
https://www.washingtonpost.com/amphtml/news/powerpost/wp/2017/09/26/probe-estimates-billions-of-delayed-mail-pieces-postal-service-acknowledges-some-coverups/,46983,42,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/01/05/usps-to-halt-retail-sales-at-staples-stores-after-union-complaints/,158234,32,text/html
https://www.washingtonpost.com/national/photos-from-the-surf-city-surf-dog-contest/2017/09/23/6db788e2-a0a4-11e7-8ea1-ed975285475e_gallery.html,74399,31,text/html
https://www.washingtonpost.com/opinions/the-security-threat-were-ignoring-terrorist-drones/2017/09/29/3fbd1374-a51f-11e7-b14f-f41773cd5a14_story.html,158952,37,text/html
https://www.washingtonpost.com/news/opinions/wp/2017/09/27/the-trump-administration-is-working-hard-for-you/,91831,27,text/html
https://www.washingtonpost.com/global-opinions/,130445,104,text/html
https://www.washingtonpost.com/opinions/will-the-supreme-court-plunge-into-a-political-thicket/2017/09/29/337dedae-a475-11e7-b14f-f41773cd5a14_story.html,159776,42,text/html
https://www.washingtonpost.com/opinions/the-iran-deal-is-working-heres-how-we-know/2017/09/29/d138b070-a44c-11e7-b14f-f41773cd5a14_story.html,159835,46,text/html
https://www.washingtonpost.com/blogs/post-partisan/wp/2017/09/29/too-bad-trump-cant-emulate-the-military-when-it-comes-to-matters-of-race/,160794,38,text/html
https://www.washingtonpost.com/blogs/right-turn/wp/2017/09/29/its-mitch-mcconnells-fault/,154687,26,text/html
https://www.washingtonpost.com/people/hugh-hewitt/,72715,60,text/html
https://www.washingtonpost.com/news/act-four/,124028,61,text/html
https://www.washingtonpost.com/news/volokh-conspiracy/,136483,79,text/html
https://www.washingtonpost.com/people/christian-caryl/,71801,60,text/html
https://www.washingtonpost.com/people/michael-mcfaul/,72818,61,text/html
https://www.washingtonpost.com/people/kathleen-parker/,72655,60,text/html
https://www.washingtonpost.com/people/jennifer-rubin/,72125,60,text/html
https://www.washingtonpost.com/news/act-four/wp/2017/09/29/the-american-war-youve-watched-all-18-hours-of-the-vietnam-war-heres-what-ken-burns-wants-you-to-remember/,173335,36,text/html
https://www.washingtonpost.com/people/jonathan-capehart/,73770,66,text/html
https://www.washingtonpost.com/blogs/all-opinions-are-local/wp/2017/09/29/were-all-unpersuadable-voters-now/,154159,33,text/html
